"全国地方公共団体コード","識別値","種別","名称","住所","郵便番号","緯度","経度","面積（平方メートル）","",""
"23230","","ちびっこ広場","東山北ちびっこ広場","愛知県日進市東山七丁目1412","4700116","35.12825","137.0543","167.91","",""
"23230","","ちびっこ広場","岩崎みたけちびっこ広場","愛知県日進市岩崎町元井ゲ17-2","4700131","35.15017","137.0466","1197.43","",""
"23230","","ちびっこ広場","梅森台ちびっこ広場","愛知県日進市梅森台一丁目39","4700133","35.13426","137.0113","629.51","",""
"23230","","ちびっこ広場","折戸寺脇ちびっこ広場","愛知県日進市折戸町寺脇90-2","4700115","35.12235","137.0463","340.38","",""
"23230","","ちびっこ広場","もみじちびっこ広場","愛知県日進市香久山一丁目3906","4700134","35.13941","137.0267","592.54","",""
"23230","","ちびっこ広場","もくせいちびっこ広場","愛知県日進市香久山一丁目3916","4700134","35.13876","137.0298","500.03","",""
"23230","","ちびっこ広場","まんさくちびっこ広場","愛知県日進市香久山一丁目3924","4700134","35.13732","137.0272","500.37","",""
"23230","","ちびっこ広場","さざんかちびっこ広場","愛知県日進市香久山一丁目3934","4700134","35.13994","137.0312","500","",""
"23230","","ちびっこ広場","つばきちびっこ広場","愛知県日進市香久山一丁目3949","4700134","35.13803","137.0318","500.4","",""
"23230","","ちびっこ広場","こでまりちびっこ広場","愛知県日進市香久山二丁目2814","4700134","35.1411","137.0262","499.55","",""
"23230","","ちびっこ広場","つつじちびっこ広場","愛知県日進市香久山二丁目2829","4700134","35.13985","137.0256","499.55","",""
"23230","","ちびっこ広場","うめちびっこ広場","愛知県日進市香久山二丁目2838","4700134","35.13617","137.0262","500.68","",""
"23230","","ちびっこ広場","あじさいちびっこ広場","愛知県日進市香久山三丁目2216","4700134","35.14513","137.0234","500.31","",""
"23230","","ちびっこ広場","くちなしちびっこ広場","愛知県日進市香久山三丁目2223","4700134","35.14458","137.0254","500.02","",""
"23230","","ちびっこ広場","さるすべりちびっこ広場","愛知県日進市香久山四丁目1305","4700134","35.14694","137.0269","501.16","",""
"23230","","ちびっこ広場","はぎちびっこ広場","愛知県日進市香久山四丁目1315","4700134","35.14406","137.0297","500.3","",""
"23230","","ちびっこ広場","本郷ちびっこ広場","愛知県日進市本郷町古郷1315-1","4700121","35.1352","137.043","286.98","",""
"23230","","ちびっこ広場","北新うぐいすちびっこ広場","愛知県日進市北新町北鶯128-1","4700103","35.16288","137.0554","1205.76","",""
"23230","","多目的広場","岩崎多目的広場","愛知県日進市岩崎町神明5-1","4700131","35.14554","137.0356","10196","",""
"23230","","多目的広場","岩崎東部多目的広場","愛知県日進市岩崎町芝内1022","4700131","35.14797","137.0483","2690","",""
"23230","","多目的広場","本郷多目的広場","愛知県日進市本郷町小橋25","4700121","35.13633","137.0433","775","",""
"23230","","多目的広場","本郷楠多目的広場","愛知県日進市本郷町古郷1356-1（他4筆）","4700121","35.13452","137.0415","1596.83","",""
"23230","","多目的広場","藤島五反田多目的広場","愛知県日進市藤島町五反田117（他7筆）","4700102","35.14236","137.0529","3032","",""
"23230","","多目的広場","浅田多目的広場","愛知県日tt進市浅田町森下126","4700124","35.1287","137.0239","1899","",""
"23230","","多目的広場","三本木多目的広場","愛知県日進市三本木町細廻間17（他3筆）","4700101","35.14289","137.084","3291","",""
"23230","","多目的広場","北山ふれあい広場","愛知県日進市三本木町廻間128-1（他3筆）","4700101","35.14457","137.0795","2200","",""
"23230","","多目的広場","米野木小廻間多目的広場","愛知県日進市米野木町小廻間52-3,52-10","4700111","35.13819","137.0652","1562","",""
"23230","","多目的広場","藤枝多目的広場","愛知県日進市藤枝町小六田116番地ほか","4700112","35.13249","137.0508","1455","",""
"23230","","その他広場","日生梅森公園","愛知県日進市梅森町新田135-127","4700132","35.13628","137.0185","1253","",""
"23230","","その他広場","赤池台公園","愛知県日進市藤塚三丁目285","4700117","35.12123","137.0347","745","",""
"23230","","その他広場","見はらし公園","愛知県日進市藤塚一丁目251","4700117","35.1246","137.037","668","",""
"23230","","その他広場","三ケ峯南小公園","愛知県日進市米野木町三ケ峯4-326","4700111","35.14524","137.0933","536","",""
"23230","","その他広場","三ケ峯北小公園","愛知県日進市米野木町三ケ峯4-322","4700111","35.14551","137.0934","186","",""
"23230","","その他広場","藤島台団地第1公園","愛知県日進市藤島町長塚72-68","4700102","35.14409","137.0579","244","",""
"23230","","その他広場","藤島台団地第2公園","愛知県日進市藤島町長塚72-72","4700102","35.14414","137.0574","433","",""
"23230","","その他広場","阿良池公園","愛知県日進市岩崎町阿良池58-26","4700131","35.15276","137.0517","636","",""
"23230","","その他広場","梅森団地公園","愛知県日進市香久山二丁目3323","4700134","35.14066","137.0238","428","",""
"23230","","その他広場","五色園つばき1号公園","愛知県日進市五色園四丁目801","4700105","35.15794","137.0599","1277.73","",""
"23230","","その他広場","五色園つばき2号公園","愛知県日進市五色園四丁目1508","4700105","35.15942","137.0613","764.46","",""
"23230","","その他広場","折戸枯木公園","愛知県日進市折戸町枯木21-104","4700115","35.11296","137.0485","305","",""
"23230","","その他広場","岩崎門木公園","愛知県日進市岩崎台一丁目505","4700135","35.14841","137.0259","114","",""
"23230","","その他広場","折戸福池公園","愛知県日進市栄五丁目306","4700113","35.11847","137.0539","296","",""
"23230","","その他広場","石兼台公園","愛知県日進市岩崎町石兼56-623","4700131","35.14781","137.0319","150","",""
"23230","","その他広場","浅田新池公園","愛知県日進市浅田町上小深田8-81","4700124","35.12203","137.0327","854.2","",""
"23230","","その他広場","浅田笹原公園","愛知県日進市浅田町笹原8-130","4700124","35.12028","137.0245","127","",""
"23230","","その他広場","浅田平子第2ちびっこ広場","愛知県日進市浅田平子二丁目251","4700128","35.11799","137.0311","917","",""
"23230","","その他広場","日生東山第1","愛知県日進市東山一丁目2703","4700116","35.12906","137.0491","1350.09","",""
"23230","","その他広場","日生東山第2（中央帯）","愛知県日進市東山二丁目2235（他4筆）","4700116","35.12652","137.048","2389","",""
"23230","","その他広場","平子団地第1","愛知県日進市東山七丁目601","4700116","35.12832","137.0531","138","",""
"23230","","その他広場","平子団地第2","愛知県日進市東山七丁目616","4700116","35.12851","137.0547","317","",""
"23230","","その他広場","藤島台団地第3","愛知県日進市藤島町長塚72-53","4700102","35.14331","137.058","523","",""
"23230","","その他広場","芦廻間第2","愛知県日進市岩崎町芦廻間112-776","4700131","35.15152","137.0308","576","",""
"23230","","その他広場","香久山アスレチック広場","愛知県日進市香久山二丁目2835","4700134","35.13838","137.0252","1000","",""
"23230","","その他広場","北部浄化センター北広場","愛知県日進市香久山二丁目501","4700134","35.1394","137.025","5474","",""
"23230","","その他広場","五色園とんねる公園西公園","愛知県日進市五色園二丁目2714","4700105","35.15302","137.0645","602","",""
"23230","","その他広場","梅森台四丁目","愛知県日進市梅森台四丁目75","4700133","35.13586","137.008","177","",""
"23230","","その他広場","新ラ田ケ丘公園","愛知県日進市香久山五丁目1938","4700134","35.14139","137.032","699","",""
"23230","","その他広場","モチロ北公園","愛知県日進市赤池町モチロ61-773","4700126","35.11427","137.021","316","",""
"23230","","その他広場","藤塚二丁目公園","愛知県日進市藤塚二丁目127","4700117","35.12149","137.0379","524","",""
"23230","","その他広場","鎌ケ寿西公園","愛知県日進市折戸町鎌ケ寿5-149","4700115","35.12224","137.0383","166","",""
"23230","","その他広場","モチロ南公園","愛知県日進市モチロ61-806","4700126","35.11176","137.019","323","",""
